Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102637,6872,0,109509,99596,9082,2580,479,479,0,6023,3059,8797,285,0,0,3041,2756,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8990,0,0,8990,0,1162,217,20,20,0,925,237,0,1162,0,0,8990,7828,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8966,0,0,8966,0,1048,202,30,30,0,816,232,0,1048,5147,0,8966,7918,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98625,5559,0,104184,90613,8288,3080,722,723,1,4485,3802,7571,717,786,2250,8012,7295,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9224,0,0,9224,0,899,134,17,17,0,748,151,0,899,717,156,9224,8325,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,12982,239,0,13221,4491,1068,194,44,45,1,829,238,289,779,3953,166,8491,7712,2,0,2,0,3,0,0,1,2,1,0,0,1,99396
27,92441,4902,0,97343,85423,6430,1697,554,556,2,4177,2251,5800,630,655,2967,7018,6388,4,1,4,0,4,1,0,3,3,1,0,0,1,99349
28,8260,48,0,8308,791,829,132,17,17,0,680,149,54,775,730,150,7469,6694,2,0,2,0,8,0,0,1,6,1,0,1,1,99301
29,14749,428,0,15177,7872,1144,273,51,51,0,820,324,470,674,3664,180,6877,6203,1,1,1,0,9,1,0,0,7,1,0,1,1,99243
30,88097,4580,0,92677,82584,5521,1532,476,482,6,3507,2008,5035,486,603,1691,5513,5027,6,1,6,0,10,1,0,5,7,1,0,1,2,99188
31,8134,68,0,8202,1534,722,95,18,18,0,609,113,72,650,715,155,6600,5950,0,1,0,0,14,1,0,0,12,0,0,0,2,99131
32,16743,602,0,17345,10696,1233,258,60,61,1,914,318,673,560,3092,246,6047,5487,2,0,2,0,13,0,0,1,11,1,0,0,2,99072
33,83855,4182,0,88037,79046,4834,1190,315,320,5,3324,1505,4418,416,559,1493,4809,4393,5,1,5,0,15,1,0,4,12,1,0,1,2,99007
34,8324,108,0,8432,2258,687,114,13,14,1,559,127,118,569,804,157,6066,5497,2,0,2,0,19,0,0,1,16,1,0,1,2,98941
35,18241,661,0,18902,12754,1247,283,70,71,1,893,353,712,535,2971,236,5487,4952,1,1,1,0,21,1,0,0,17,1,0,1,3,98873
36,79775,3873,0,83648,75659,4164,839,413,417,4,2908,1252,3813,351,491,1081,4116,3765,4,0,4,0,21,0,0,3,17,1,0,1,3,98802
37,8378,146,0,8524,2973,648,63,23,25,2,560,86,138,510,783,183,5405,4895,6,0,6,0,25,0,0,5,20,1,0,1,4,98728
38,19312,770,0,20082,14500,1113,175,109,110,1,828,284,718,395,2555,251,4812,4417,1,0,1,0,29,0,0,0,24,1,0,1,4,98651
39,75638,3485,0,79123,72120,3564,593,340,348,8,2623,933,3287,277,499,923,3518,3241,13,0,13,0,29,0,0,11,23,1,1,1,5,98569
40,8369,185,0,8554,3646,600,87,33,33,0,480,120,184,416,726,173,4723,4307,1,0,1,0,42,0,0,0,34,1,0,2,6,98483
41,19975,745,0,20720,15805,1057,162,83,84,1,811,245,687,370,2341,199,4170,3800,1,3,1,0,42,3,0,0,33,1,0,1,8,98389
42,71447,3210,0,74657,68499,3082,463,277,286,9,2333,740,2841,241,423,678,2948,2707,10,1,10,0,36,1,0,7,30,3,0,0,6,98294
43,8364,202,0,8566,4178,582,74,35,36,1,472,109,177,405,724,166,4186,3781,2,0,2,0,44,0,0,2,35,0,0,3,6,98172
44,20386,794,0,21180,16744,999,162,68,70,2,767,230,695,304,2062,184,3642,3338,5,0,5,0,44,0,0,2,36,2,1,0,8,98066
45,67598,3060,0,70658,64996,2799,411,226,231,5,2157,637,2588,211,418,495,2602,2391,6,5,6,0,41,5,0,5,32,1,0,2,7,97944
46,8516,257,0,8773,4669,524,64,45,46,1,414,109,211,313,679,155,3847,3534,1,3,1,0,44,3,0,1,35,0,0,1,8,97815
47,20755,815,0,21570,17408,965,122,90,94,4,749,212,689,276,1931,174,3347,3071,3,4,3,0,41,4,0,4,33,0,0,0,8,97637
48,63769,2732,0,66501,61455,2408,265,225,229,4,1914,490,2247,161,375,421,2314,2153,6,0,6,0,38,0,0,6,30,0,0,0,8,97486
49,8457,220,0,8677,5045,476,48,37,37,0,391,85,207,269,671,134,3412,3143,3,0,3,0,42,0,0,1,35,1,1,0,7,97317
