Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102635,6773,0,109408,99596,9204,2553,513,513,0,6138,3066,8909,295,0,0,3039,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,9111,0,0,9111,0,1200,235,22,22,0,943,257,0,1200,0,0,9111,7911,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,9099,0,0,9099,0,1032,235,18,18,0,779,253,0,1032,5266,0,9099,8067,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98599,5501,0,104100,90505,8318,3095,752,753,1,4470,3847,7658,660,844,2213,8094,7434,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9301,0,0,9301,0,938,133,16,16,0,789,149,0,938,689,181,9301,8363,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13178,293,0,13471,4572,1173,209,56,56,0,908,265,326,847,3938,192,8606,7759,2,0,2,0,3,0,0,1,2,1,0,0,1,99396
27,92417,5016,0,97433,85265,6444,1709,529,532,3,4203,2238,5813,631,692,2987,7152,6521,4,1,4,0,4,1,0,3,3,1,0,0,1,99349
28,8375,47,0,8422,780,896,150,14,14,0,732,164,47,849,797,154,7595,6746,0,1,0,0,8,1,0,0,6,0,0,1,1,99300
29,14820,459,0,15279,7886,1228,269,44,45,1,914,313,530,698,3611,194,6934,6236,2,0,2,0,7,0,0,1,6,1,0,0,1,99243
30,10643,87938,0,98581,82450,3739,1404,450,454,4,1881,1854,3020,719,644,1700,5488,4769,5,1,5,0,9,1,0,3,7,2,0,1,1,99188
31,235,14833,0,15068,1590,4971,745,257,259,2,3967,1002,3710,1261,680,174,13243,11982,2,1,2,0,13,1,0,2,10,0,0,1,2,99131
32,1533,18893,0,20426,10592,3199,452,74,75,1,2672,526,551,2648,943,253,8301,5653,1,0,1,0,14,0,0,1,12,0,0,0,2,99072
33,556,14087,0,14643,5528,2747,336,58,58,0,2353,394,622,2125,1708,1363,8559,6434,1,0,1,0,14,0,0,0,12,1,0,0,2,99008
34,94,6543,0,6637,739,1920,198,17,17,0,1705,215,214,1706,1172,834,5804,4098,0,0,0,0,15,0,0,0,12,0,0,1,2,98942
35,7180,72791,0,79971,67785,3367,976,287,293,6,2098,1263,1992,1375,1013,447,5006,3631,6,1,6,0,14,1,0,5,12,1,0,0,2,98874
36,1150,21969,0,23119,11498,4056,613,260,262,2,3181,873,2598,1458,696,286,10471,9013,2,0,2,0,20,0,0,0,17,2,0,1,2,98803
37,1086,18525,0,19611,11083,2760,315,118,119,1,2326,433,651,2109,938,173,7442,5333,2,1,2,0,22,1,0,2,17,0,0,2,3,98728
38,270,9758,0,10028,2758,2158,179,62,65,3,1914,241,395,1763,1408,1042,7000,5237,6,0,6,0,21,0,0,5,18,1,0,0,3,98651
39,398,11461,0,11859,6848,1571,146,39,39,0,1386,185,193,1378,979,709,4613,3235,0,0,0,0,26,0,0,0,22,0,0,1,3,98569
40,4498,64839,0,69337,60884,2334,487,261,267,6,1580,748,1206,1128,789,365,3955,2827,6,2,6,0,26,2,0,4,22,2,0,0,4,98481
41,789,16730,0,17519,9649,2692,347,207,210,3,2135,554,1557,1135,545,236,7081,5946,4,0,4,0,29,0,0,3,25,1,0,1,3,98390
42,1096,20184,0,21280,15255,1956,231,91,93,2,1632,322,470,1486,675,141,4929,3443,2,0,2,0,29,0,0,2,24,0,0,1,4,98296
43,372,10096,0,10468,5211,1667,157,54,54,0,1456,211,420,1247,848,584,4885,3638,2,1,2,0,31,1,0,2,26,0,0,0,5,98173
44,224,7081,0,7305,3615,1263,120,34,37,3,1106,154,165,1098,639,467,3466,2368,6,0,6,0,28,0,0,4,24,2,0,0,4,98067
45,3818,61540,0,65358,58539,1854,415,213,217,4,1222,628,974,880,556,265,3001,2121,4,1,4,0,33,1,0,4,28,0,0,2,3,97949
46,769,17693,0,18462,11821,2137,289,182,184,2,1664,471,1290,847,438,183,5872,5025,3,2,3,0,34,2,0,1,30,2,0,0,4,97821
47,648,15241,0,15889,11132,1510,162,110,115,5,1233,272,337,1173,519,131,4109,2936,4,6,4,0,34,6,0,5,30,0,0,1,3,97641
48,446,12892,0,13338,9147,1223,118,57,57,0,1048,175,259,964,657,485,3745,2781,1,1,1,0,34,1,0,1,30,0,0,0,4,97488
49,226,7661,0,7887,4883,946,82,36,38,2,826,118,175,771,456,404,2778,2007,2,2,2,0,32,2,0,1,28,1,0,0,4,97317
