Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102641,6737,0,109378,99596,9115,2568,495,495,0,6052,3063,8780,335,0,0,3045,2710,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8936,0,0,8936,0,1119,185,17,17,0,917,202,0,1119,0,0,8936,7817,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8957,0,0,8957,0,1016,219,17,17,0,780,236,0,1016,5238,0,8957,7941,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98658,5460,0,104118,90631,8502,3143,783,784,1,4575,3926,7807,695,809,2170,8027,7332,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9361,0,0,9361,0,911,118,11,11,0,782,129,0,911,683,136,9361,8450,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13314,297,0,13611,4583,1228,215,40,40,0,973,255,358,870,4082,182,8731,7861,1,0,1,0,3,0,0,1,2,0,0,0,1,99396
27,92351,4953,0,97304,85179,6362,1688,535,540,5,4134,2223,5726,636,699,2980,7172,6536,5,1,5,0,4,1,0,4,3,1,0,0,1,99349
28,8242,35,0,8277,724,867,148,14,14,0,705,162,45,822,850,144,7518,6696,1,0,1,0,8,0,0,0,7,1,0,0,1,99301
29,14795,447,0,15242,7996,1161,240,47,47,0,874,287,519,642,3602,171,6799,6157,1,0,1,0,9,0,0,1,7,0,0,1,1,99244
30,88012,88012,88012,176024,82459,5653,1528,508,510,2,3615,2036,4657,996,628,1678,5553,4557,2,1,2,0,9,1,0,1,8,1,0,0,1,99189
31,16637,16637,16637,33274,1559,6048,816,232,236,4,4996,1048,4165,1883,602,159,15078,13195,4,1,4,0,11,1,0,3,9,1,0,1,1,99132
32,24899,24899,24899,49798,10721,5061,487,71,71,0,4503,558,1490,3571,2263,225,14178,10607,0,0,0,0,14,0,0,0,12,0,0,0,2,99073
33,19412,19412,19412,38824,5212,4638,484,68,68,0,4086,552,1470,3168,2217,1249,14200,11032,1,0,1,0,14,0,0,0,12,1,0,0,2,99009
34,9546,9546,9546,19092,410,3091,256,18,18,0,2817,274,319,2772,2175,716,9136,6364,0,1,0,0,15,1,0,0,12,0,0,1,2,98942
35,71028,71028,71028,142056,63219,5401,1036,260,265,5,4100,1296,3102,2299,1989,378,7809,5510,5,0,5,0,14,0,0,4,12,1,0,0,2,98875
36,19885,19885,19885,39770,7206,4936,571,198,199,1,4166,769,2632,2304,1252,333,12679,10375,1,0,1,0,19,0,0,1,16,0,0,1,2,98804
37,25155,25155,25155,50310,13461,4119,365,135,138,3,3616,500,1224,2895,2332,201,11694,8799,4,1,4,0,20,1,0,3,17,1,0,0,3,98729
38,16644,16644,16644,33288,5296,3491,271,94,94,0,3126,365,1016,2475,1896,869,11348,8873,0,0,0,0,21,0,0,0,19,0,0,1,1,98652
39,14958,14958,14958,29916,7493,2638,223,53,53,0,2362,276,523,2115,1747,521,7465,5350,1,0,1,0,20,0,0,0,18,1,0,0,2,98570
40,60166,60166,60166,120332,53723,3887,494,211,216,5,3177,705,2145,1742,1469,340,6443,4701,8,1,8,0,20,1,0,6,17,2,0,1,2,98483
41,13186,13186,13186,26372,4137,3271,321,131,132,1,2818,452,1483,1788,1098,288,9049,7261,2,0,2,0,26,0,0,1,22,1,0,1,3,98392
42,27390,27390,27390,54780,19333,3019,262,100,103,3,2654,362,1036,1983,1761,181,8057,6074,4,2,4,0,24,2,0,3,19,1,0,1,4,98296
43,16675,16675,16675,33350,8144,2755,203,77,78,1,2474,280,1010,1745,1263,461,8531,6786,1,1,1,0,25,1,0,1,22,0,0,0,3,98173
44,11613,11613,11613,23226,5577,2091,156,50,52,2,1883,206,499,1592,1315,308,6036,4444,3,0,3,0,25,0,0,2,22,1,0,0,3,98067
45,55975,55975,55975,111950,50415,3301,430,190,193,3,2678,620,1919,1382,1221,235,5560,4178,5,0,5,0,26,0,0,4,23,1,0,1,2,97950
46,12200,12200,12200,24400,4441,2669,255,137,138,1,2276,392,1242,1427,849,210,7759,6332,2,0,2,0,28,0,0,1,24,1,0,1,3,97824
47,23470,23470,23470,46940,16556,2444,190,100,103,3,2151,290,860,1584,1549,152,6914,5330,3,3,3,0,27,3,0,3,25,0,0,1,1,97647
48,20218,20218,20218,40436,13128,2143,145,67,69,2,1929,212,798,1345,1058,396,7090,5745,2,1,2,0,29,1,0,2,27,0,0,0,2,97494
