Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102582,6745,0,109327,99596,9081,2523,481,481,0,6077,3004,8798,283,0,0,2986,2703,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8992,0,0,8992,0,1175,224,24,24,0,927,248,0,1175,0,0,8992,7817,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8981,0,0,8981,0,1010,221,29,29,0,760,250,0,1010,5194,0,8981,7971,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98660,5759,0,104419,90614,8447,3093,777,778,1,4576,3870,7771,676,816,2209,8046,7370,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9391,0,0,9391,0,925,131,20,20,0,774,151,0,925,670,166,9391,8466,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13274,262,0,13536,4534,1164,218,40,40,0,906,258,326,838,4022,187,8740,7902,2,0,2,0,3,0,0,1,2,1,0,0,1,99396
27,92393,4945,0,97338,85221,6290,1669,537,542,5,4079,2206,5686,604,677,3062,7172,6568,5,1,5,0,5,1,0,4,3,1,0,1,1,99349
28,8218,45,0,8263,729,869,162,19,20,1,687,181,55,814,831,153,7489,6675,1,1,1,0,8,1,0,1,7,0,0,0,1,99300
29,14708,433,0,15141,7921,1185,244,63,64,1,877,307,505,680,3534,195,6787,6107,2,0,2,0,9,0,0,1,8,1,0,0,1,99243
30,88128,88128,88128,176256,82592,5650,1565,472,474,2,3611,2037,4630,1020,582,1662,5536,4516,2,0,2,0,11,0,0,2,9,0,0,1,1,99189
31,16475,16475,16475,32950,1538,5932,790,254,258,4,4884,1044,4149,1783,584,187,14937,13154,4,1,4,0,13,1,0,3,11,1,0,0,2,99132
32,24661,24661,24661,49322,10622,4924,499,73,73,0,4352,572,1398,3526,2301,203,14039,10513,0,0,0,0,16,0,0,0,14,0,0,0,2,99073
33,19301,19301,19301,38602,5320,4582,453,77,78,1,4051,530,1392,3190,2166,1259,13981,10791,1,0,1,0,16,0,0,1,14,0,0,0,2,99009
34,9448,9448,9448,18896,484,3119,256,25,25,0,2838,281,358,2761,2047,718,8964,6203,0,0,0,0,17,0,0,0,15,0,0,0,2,98943
35,71037,71037,71037,142074,63343,5362,1006,252,254,2,4102,1258,3051,2311,1945,374,7694,5383,3,0,3,0,17,0,0,2,15,1,0,0,2,98876
36,19924,19924,19924,39848,7248,4918,571,224,227,3,4120,795,2621,2297,1207,312,12676,10379,3,0,3,0,19,0,0,2,16,1,0,1,2,98805
37,25205,25205,25205,50410,13572,4045,378,108,109,1,3558,486,1151,2894,2315,204,11633,8739,2,1,2,0,22,1,0,2,18,0,0,1,3,98730
38,16427,16427,16427,32854,5200,3432,253,91,91,0,3088,344,971,2461,1865,863,11227,8766,0,1,0,0,20,1,0,0,19,0,0,0,1,98652
39,14880,14880,14880,29760,7482,2585,193,64,64,0,2328,257,504,2081,1734,533,7398,5317,1,0,1,0,19,0,0,0,18,1,0,0,1,98570
40,60332,60332,60332,120664,53865,3838,486,211,217,6,3135,697,2150,1688,1495,374,6467,4779,7,0,7,0,20,0,0,5,18,2,0,1,1,98484
41,12995,12995,12995,25990,4059,3228,292,140,144,4,2792,432,1493,1735,1094,263,8936,7201,5,2,5,0,26,2,0,4,22,1,0,2,2,98391
42,27415,27415,27415,54830,19452,3023,250,81,82,1,2691,331,1024,1999,1785,158,7963,5964,2,0,2,0,25,0,0,2,22,0,0,0,3,98297
43,16692,16692,16692,33384,8192,2692,217,88,92,4,2383,305,993,1699,1210,468,8500,6801,5,0,5,0,25,0,0,3,22,2,0,0,3,98175
44,11363,11363,11363,22726,5474,2074,181,50,51,1,1842,231,491,1583,1342,302,5889,4306,1,1,1,0,27,1,0,1,24,0,0,1,2,98068
45,56018,56018,56018,112036,50567,3256,415,195,196,1,2645,610,1875,1381,1126,211,5451,4070,3,0,3,0,25,0,0,3,23,0,0,0,2,97951
46,12084,12084,12084,24168,4447,2635,253,135,138,3,2244,388,1261,1374,814,205,7637,6263,3,1,3,0,25,1,0,3,23,0,0,0,2,97824
47,23306,23306,23306,46612,16506,2417,178,110,110,0,2129,288,858,1559,1539,164,6800,5241,0,0,0,0,27,0,0,0,25,0,0,0,2,97650
48,20350,20350,20350,40700,13244,2167,151,75,81,6,1935,226,860,1307,1026,410,7106,5799,7,2,7,0,26,2,0,6,24,1,0,0,2,97496
