Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102600,6901,0,109501,99596,9148,2511,518,518,0,6119,3029,8855,293,0,0,3004,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,9032,0,0,9032,0,1080,200,22,22,0,858,222,0,1080,0,0,9032,7952,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,9010,0,0,9010,0,1045,207,17,17,0,821,224,0,1045,5323,0,9010,7965,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98541,5595,0,104136,90561,8531,3152,736,737,1,4642,3888,7859,672,736,2181,7980,7308,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9479,0,0,9479,0,934,141,20,20,0,773,161,0,934,734,156,9479,8545,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13406,262,0,13668,4661,1189,212,51,51,0,926,263,320,869,4087,159,8745,7876,1,0,1,0,3,0,0,1,2,0,0,0,1,99396
27,92155,4927,0,97082,85018,6229,1669,534,537,3,4023,2203,5640,589,660,3004,7137,6548,4,1,4,0,4,1,0,3,3,1,0,0,1,99349
28,8215,42,0,8257,810,802,129,15,15,0,658,144,45,757,817,153,7405,6648,0,0,0,0,7,0,0,0,6,0,0,0,1,99301
29,14836,464,0,15300,8097,1182,269,60,60,0,853,329,565,617,3531,211,6739,6122,3,0,3,0,7,0,0,0,6,3,0,0,1,99244
30,87876,87876,87876,175752,82413,5648,1511,465,467,2,3670,1976,4569,1079,576,1713,5463,4384,2,1,2,0,10,1,0,2,6,0,0,3,1,99189
31,16478,16478,16478,32956,1631,6023,769,267,272,5,4982,1036,4082,1941,562,132,14847,12906,5,2,5,0,11,2,0,4,8,1,0,0,3,99131
32,24816,24816,24816,49632,10758,5027,495,85,86,1,4446,580,1476,3551,2221,223,14058,10507,2,0,2,0,14,0,0,1,12,1,0,0,2,99072
33,19386,19386,19386,38772,5226,4732,497,83,83,0,4152,580,1431,3301,2210,1210,14160,10859,0,1,0,0,16,1,0,0,13,0,0,1,2,99007
34,9593,9593,9593,19186,434,3135,254,21,21,0,2860,275,302,2833,2074,715,9159,6326,0,0,0,0,15,0,0,0,13,0,0,0,2,98941
35,71153,71153,71153,142306,63324,5381,1056,234,240,6,4085,1290,3057,2324,1983,385,7829,5505,6,0,6,0,15,0,0,4,13,2,0,0,2,98874
36,19781,19781,19781,39562,7104,4896,576,232,233,1,4087,808,2527,2369,1242,333,12677,10308,1,0,1,0,21,0,0,1,17,0,0,2,2,98803
37,25135,25135,25135,50270,13512,4108,361,108,109,1,3638,469,1211,2897,2301,208,11623,8726,1,1,1,0,22,1,0,0,18,1,0,0,4,98728
38,16552,16552,16552,33104,5293,3477,256,96,99,3,3122,352,1037,2440,1825,841,11259,8819,5,0,5,0,20,0,0,4,17,1,0,1,2,98651
39,14877,14877,14877,29754,7440,2611,202,52,54,2,2355,254,466,2145,1824,523,7437,5292,2,0,2,0,24,0,0,2,20,0,0,1,3,98569
40,60298,60298,60298,120596,53873,3822,464,221,225,4,3133,685,2100,1722,1505,354,6425,4703,6,0,6,0,26,0,0,5,22,1,0,0,4,98483
41,12982,12982,12982,25964,4073,3308,320,129,131,2,2857,449,1537,1771,1092,244,8909,7138,2,1,2,0,29,1,0,2,25,0,0,1,3,98391
42,27249,27249,27249,54498,19285,2988,235,100,101,1,2652,335,959,2029,1720,175,7964,5935,2,0,2,0,28,0,0,2,24,0,0,0,4,98297
43,16692,16692,16692,33384,8139,2774,245,93,94,1,2435,338,1068,1706,1238,458,8553,6847,1,0,1,0,29,0,0,1,25,0,0,0,4,98175
44,11548,11548,11548,23096,5572,2164,171,51,52,1,1941,222,530,1634,1333,312,5976,4342,4,1,4,0,29,1,0,3,26,1,0,0,3,98068
45,56098,56098,56098,112196,50569,3339,406,184,188,4,2745,590,1914,1425,1156,216,5529,4104,4,0,4,0,30,0,0,4,27,0,0,0,3,97951
46,12217,12217,12217,24434,4432,2679,255,129,130,1,2294,384,1273,1406,881,229,7785,6379,1,0,1,0,30,0,0,0,27,0,1,0,3,97825
47,23397,23397,23397,46794,16475,2453,192,105,107,2,2154,297,849,1604,1619,159,6922,5318,2,1,2,0,30,1,0,2,26,0,0,1,3,97650
48,20245,20245,20245,40490,13038,2251,160,84,85,1,2006,244,897,1354,1036,402,7207,5853,1,2,1,0,30,2,0,1,26,0,0,0,4,97496
