Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102616,6813,0,109429,99596,9056,2549,487,487,0,6020,3036,8743,313,0,0,3020,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8945,0,0,8945,0,1164,219,29,29,0,916,248,0,1164,0,0,8945,7781,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8917,0,0,8917,0,1081,208,32,32,0,841,240,0,1081,5146,0,8917,7836,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98760,5556,0,104316,90677,8467,3109,773,774,1,4584,3882,7786,681,791,2184,8083,7402,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9426,0,0,9426,0,929,148,16,16,0,765,164,0,929,743,170,9426,8497,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13105,257,0,13362,4453,1099,198,42,42,0,859,240,288,811,4037,166,8652,7841,2,0,2,0,3,0,0,1,2,1,0,0,1,99396
27,92410,4905,0,97315,85270,6228,1729,536,539,3,3960,2265,5618,610,677,3035,7140,6530,3,1,3,0,4,1,0,2,3,1,0,0,1,99349
28,8119,47,0,8166,814,779,123,19,19,0,637,142,50,729,751,150,7305,6576,2,1,2,0,7,1,0,1,5,1,0,1,1,99300
29,14612,445,0,15057,7881,1182,278,62,63,1,841,340,538,644,3510,179,6731,6087,1,0,1,0,8,0,0,0,6,1,0,1,1,99243
30,88170,88170,88170,176340,82693,5596,1520,445,451,6,3625,1965,4517,1079,563,1727,5477,4398,6,1,6,0,9,1,0,5,6,1,0,1,2,99188
31,16518,16518,16518,33036,1569,6065,819,266,269,3,4977,1085,4196,1869,563,150,14949,13080,3,0,3,0,14,0,0,2,11,1,0,0,3,99132
32,24582,24582,24582,49164,10492,4987,512,88,88,0,4387,600,1415,3572,2268,213,14090,10518,0,2,0,0,16,2,0,0,13,0,0,1,2,99071
33,19331,19331,19331,38662,5278,4656,497,83,83,0,4076,580,1467,3189,2222,1196,14053,10864,0,0,0,0,15,0,0,0,13,0,0,0,2,99007
34,9500,9500,9500,19000,449,3183,225,18,18,0,2940,243,341,2842,2063,737,9051,6209,1,0,1,0,15,0,0,0,13,1,0,0,2,98941
35,71378,71378,71378,142756,63528,5316,1018,234,238,4,4060,1252,2997,2319,1955,386,7850,5531,4,0,4,0,16,0,0,4,13,0,0,1,2,98874
36,19858,19858,19858,39716,7178,4871,584,210,211,1,4076,794,2534,2337,1287,341,12680,10343,1,0,1,0,20,0,0,1,17,0,0,0,3,98803
37,24950,24950,24950,49900,13370,3970,333,113,116,3,3521,446,1164,2806,2265,228,11580,8774,3,1,3,0,20,1,0,3,18,0,0,0,2,98728
38,16425,16425,16425,32850,5228,3395,268,98,100,2,3027,366,1011,2384,1892,859,11197,8813,2,0,2,0,20,0,0,1,19,1,0,0,1,98651
39,14689,14689,14689,29378,7327,2590,210,62,62,0,2318,272,523,2067,1730,528,7362,5295,1,0,1,0,21,0,0,0,19,1,0,1,1,98569
40,60709,60709,60709,121418,54296,3859,505,218,224,6,3130,723,2184,1675,1435,342,6413,4738,7,0,7,0,22,0,0,6,19,1,0,1,2,98483
41,13011,13011,13011,26022,4070,3215,277,150,152,2,2786,427,1513,1702,1087,274,8941,7239,2,1,2,0,28,1,0,2,24,0,0,1,3,98391
42,27029,27029,27029,54058,19118,3066,247,85,88,3,2731,332,1051,2015,1768,158,7911,5896,4,0,4,0,27,0,0,3,24,1,0,0,3,98297
43,16726,16726,16726,33452,8200,2746,230,88,90,2,2426,318,995,1751,1216,496,8526,6775,3,0,3,0,29,0,0,3,26,0,0,1,2,98175
44,11310,11310,11310,22620,5364,2053,159,48,48,0,1846,207,452,1601,1345,291,5946,4345,1,1,1,0,31,1,0,1,29,0,0,0,2,98068
45,56369,56369,56369,112738,50856,3336,413,195,200,5,2723,608,1947,1389,1176,208,5513,4124,5,1,5,0,27,1,0,3,25,2,0,0,2,97950
46,12296,12296,12296,24592,4585,2631,246,132,133,1,2252,378,1247,1384,822,219,7711,6327,1,0,1,0,30,0,0,1,27,0,0,1,2,97824
47,23174,23174,23174,46348,16266,2361,195,103,106,3,2060,298,800,1561,1623,154,6908,5347,4,2,4,0,31,2,0,4,28,0,0,0,3,97648
48,20100,20100,20100,40200,13051,2228,165,82,83,1,1980,247,861,1367,1006,402,7049,5682,2,3,2,0,31,3,0,2,29,0,0,0,2,97493
