Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102629,6862,0,109491,99596,9109,2568,488,488,0,6053,3056,8819,290,0,0,3033,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8999,0,0,8999,0,1108,211,13,13,0,884,224,0,1108,0,0,8999,7891,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8997,0,0,8997,0,1044,198,25,25,0,821,223,0,1044,5221,0,8997,7953,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98599,5694,0,104293,90597,8366,3081,756,757,1,4528,3837,7710,656,776,2211,8002,7346,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9317,0,0,9317,0,896,135,19,19,0,742,154,0,896,733,162,9317,8421,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13146,265,0,13411,4559,1187,204,51,51,0,932,255,339,848,4026,180,8587,7739,2,1,2,0,3,1,0,1,2,1,0,0,1,99395
27,92358,5021,0,97379,85263,6372,1729,523,527,4,4116,2252,5768,604,655,2947,7095,6491,5,0,5,0,4,0,0,4,3,1,0,0,1,99349
28,8318,55,0,8373,801,871,154,26,26,0,691,180,58,813,834,128,7517,6704,1,1,1,0,9,1,0,0,7,1,0,1,1,99300
29,14789,405,0,15194,7943,1200,259,63,65,2,876,322,514,686,3596,179,6846,6160,2,0,2,0,9,0,0,2,7,0,0,1,1,99243
30,87982,4446,0,92428,82456,5469,1496,468,473,5,3500,1964,4984,485,610,1690,5526,5041,5,0,5,0,11,0,0,4,9,1,0,0,2,99189
31,8272,109,0,8381,1611,733,104,22,22,0,607,126,96,637,787,187,6661,6024,0,1,0,0,15,1,0,0,13,0,0,1,1,99132
32,16680,564,0,17244,10625,1214,267,59,59,0,888,326,630,584,3107,244,6055,5471,1,1,1,0,15,1,0,0,13,1,0,0,2,99072
33,83756,4155,0,87911,78965,4875,1225,337,343,6,3307,1562,4429,446,527,1449,4791,4345,7,0,7,0,14,0,0,5,12,2,0,0,2,99008
34,8472,118,0,8590,2386,745,140,17,17,0,588,157,192,553,770,183,6086,5533,2,1,2,0,21,1,0,1,17,1,0,2,2,98941
35,18371,677,0,19048,12797,1264,264,62,62,0,938,326,752,512,2952,248,5574,5062,0,1,0,0,22,1,0,0,18,0,0,1,3,98873
36,79745,3841,0,83586,75511,4211,845,407,415,8,2951,1252,3852,359,522,1104,4234,3875,9,0,9,0,21,0,0,6,18,3,0,0,3,98802
37,8561,138,0,8699,3020,659,98,34,35,1,526,132,148,511,825,207,5541,5030,2,0,2,0,30,0,0,2,24,0,0,3,3,98728
38,19377,718,0,20095,14503,1164,200,100,103,3,861,300,750,414,2604,266,4874,4460,5,0,5,0,29,0,0,3,24,2,0,0,5,98651
39,75507,3543,0,79050,71981,3535,602,323,331,8,2602,925,3273,262,455,911,3526,3264,9,0,9,0,33,0,0,9,26,0,0,2,5,98569
40,8467,190,0,8657,3718,570,78,32,34,2,458,110,160,410,781,185,4749,4339,3,1,3,0,41,1,0,2,34,1,0,0,7,98482
41,19938,758,0,20696,15824,1019,141,78,79,1,799,219,669,350,2323,221,4114,3764,3,0,3,0,42,0,0,3,35,0,0,1,6,98391
42,71169,3345,0,74514,68343,3110,445,274,283,9,2382,719,2847,263,403,649,2826,2563,9,2,9,0,41,2,0,8,35,1,0,0,6,98295
43,8472,197,0,8669,4320,578,83,43,43,0,452,126,210,368,698,149,4152,3784,0,2,0,0,48,2,0,0,43,0,0,0,5,98171
44,20495,830,0,21325,16859,981,164,66,68,2,749,230,671,310,2105,169,3636,3326,4,2,4,0,46,2,0,1,41,2,1,0,5,98063
45,67290,3030,0,70320,64742,2821,407,245,248,3,2166,652,2592,229,397,476,2548,2319,5,2,5,0,41,2,0,4,34,1,0,3,4,97944
46,8586,236,0,8822,4740,525,66,38,39,1,420,104,202,323,669,158,3846,3523,1,2,1,0,45,2,0,1,37,0,0,1,7,97816
47,20960,867,0,21827,17600,981,128,88,91,3,762,216,699,282,1943,154,3360,3078,5,2,5,0,44,2,0,3,37,2,0,0,7,97640
48,63523,2746,0,66269,61186,2443,252,240,245,5,1946,492,2238,205,375,443,2337,2132,5,1,5,0,40,1,0,5,32,0,0,2,6,97488
49,8548,228,0,8776,5117,439,40,35,36,1,363,75,176,263,669,131,3431,3168,2,0,2,0,42,0,0,1,35,1,0,0,7,97319
