Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102649,6747,0,109396,99596,9107,2579,504,504,0,6024,3083,8834,273,0,0,3053,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,9013,0,0,9013,0,1179,208,10,10,0,961,218,0,1179,0,0,9013,7834,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8997,0,0,8997,0,1069,201,22,22,0,846,223,0,1069,5158,0,8997,7928,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98708,5661,0,104369,90582,8404,3119,761,761,0,4524,3880,7725,679,817,2229,8126,7447,0,0,0,0,2,0,0,0,1,0,0,1,0,99488
25,9409,0,0,9409,0,905,152,10,10,0,743,162,0,905,759,165,9409,8504,0,0,0,0,2,0,0,0,1,0,0,0,1,99445
26,13108,266,0,13374,4488,1152,196,56,57,1,899,252,295,857,3993,173,8620,7763,3,0,3,0,2,0,0,2,1,1,0,0,1,99396
27,92347,4890,0,97237,85252,6321,1724,521,525,4,4072,2245,5672,649,664,2961,7095,6446,6,1,6,0,5,1,0,4,3,2,0,1,1,99349
28,8284,44,0,8328,842,794,153,11,11,0,630,164,65,729,784,161,7442,6713,0,1,0,0,9,1,0,0,7,0,0,1,1,99300
29,14690,438,0,15128,7904,1116,257,56,56,0,803,313,507,609,3580,182,6786,6177,0,0,0,0,9,0,0,0,7,0,0,0,2,99243
30,10649,87881,0,98530,82532,3803,1396,480,484,4,1923,1876,3074,729,569,1737,5349,4620,4,0,4,0,9,0,0,4,7,0,0,0,2,99189
31,240,14783,0,15023,1634,4899,732,242,246,4,3921,974,3653,1246,604,177,13149,11903,4,1,4,0,13,1,0,3,11,1,0,0,2,99132
32,1567,18859,0,20426,10623,3195,436,89,89,0,2670,525,544,2651,953,241,8236,5585,1,0,1,0,16,0,0,0,14,1,0,0,2,99073
33,547,14107,0,14654,5517,2831,356,56,57,1,2418,412,683,2148,1695,1359,8590,6442,1,0,1,0,17,0,0,1,14,0,0,1,2,99009
34,98,6520,0,6618,713,1947,178,32,32,0,1737,210,197,1750,1121,826,5807,4057,0,1,0,0,17,1,0,0,15,0,0,0,2,98942
35,7055,72938,0,79993,67848,3414,1004,269,271,2,2139,1273,1964,1450,1044,400,5090,3640,3,0,3,0,17,0,0,2,15,1,0,0,2,98875
36,1173,22026,0,23199,11527,4049,653,285,288,3,3108,938,2517,1532,667,329,10499,8967,3,0,3,0,20,0,0,2,17,1,0,1,2,98804
37,1095,18475,0,19570,11021,2731,323,116,121,5,2287,439,644,2087,930,187,7454,5367,5,1,5,0,23,1,0,3,19,2,0,1,3,98729
38,257,9722,0,9979,2737,2121,200,78,79,1,1842,278,429,1692,1331,1046,6985,5293,2,0,2,0,25,0,0,1,21,1,0,2,2,98652
39,438,11452,0,11890,6838,1553,151,43,45,2,1357,194,181,1372,973,747,4614,3242,5,1,5,0,27,1,0,3,22,2,0,1,4,98569
40,4365,65030,0,69395,61015,2297,506,261,265,4,1526,767,1236,1061,758,373,4015,2954,4,1,4,0,31,1,0,3,25,1,0,2,4,98482
41,781,16520,0,17301,9580,2650,343,176,181,5,2126,519,1506,1144,554,257,6940,5796,5,1,5,0,30,1,0,4,25,1,0,0,5,98390
42,1063,20184,0,21247,15294,1957,235,77,78,1,1644,312,471,1486,636,162,4890,3404,2,1,2,0,30,1,0,2,25,0,0,1,4,98295
43,406,10023,0,10429,5175,1686,154,55,56,1,1476,209,421,1265,844,607,4848,3583,2,2,2,0,30,2,0,2,27,0,0,0,3,98171
44,243,7057,0,7300,3601,1270,108,31,31,0,1131,139,199,1071,658,432,3456,2385,1,0,1,0,31,0,0,0,29,1,0,0,2,98065
45,3809,61917,0,65726,58874,1944,420,223,227,4,1297,643,1050,894,575,242,3043,2149,6,0,6,0,27,0,0,5,24,1,0,1,2,97948
46,786,17498,0,18284,11641,2174,282,204,208,4,1684,486,1239,935,435,169,5857,4922,6,1,6,0,30,1,0,6,26,0,0,1,3,97821
47,614,15256,0,15870,11080,1521,160,94,98,4,1263,254,378,1143,549,127,4176,3033,4,3,4,0,32,3,0,3,30,1,0,0,2,97644
48,432,12841,0,13273,9083,1198,97,68,69,1,1032,165,243,955,698,499,3758,2803,1,3,1,0,31,3,0,0,28,1,0,1,2,97489
49,223,7675,0,7898,4886,898,74,27,28,1,796,101,133,765,496,402,2789,2024,1,3,1,0,31,3,0,1,27,0,0,1,3,97317
