Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102589,6836,0,109425,99596,9093,2507,503,503,0,6083,3010,8787,306,0,0,2993,2687,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8961,0,0,8961,0,1157,200,18,18,0,939,218,0,1157,0,0,8961,7804,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8947,0,0,8947,0,1031,195,22,22,0,814,217,0,1031,5253,0,8947,7916,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98659,5693,0,104352,90623,8596,3174,784,785,1,4637,3958,7856,740,813,2142,8036,7296,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9471,0,0,9471,0,849,142,18,18,0,689,160,0,849,722,135,9471,8622,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13373,283,0,13656,4604,1170,229,47,47,0,894,276,339,831,4125,154,8769,7938,2,0,2,0,3,0,0,1,2,1,0,0,1,99396
27,92177,4824,0,97001,85074,6123,1660,512,516,4,3947,2172,5549,574,620,3051,7103,6529,3,1,3,0,5,1,0,3,3,1,0,1,1,99349
28,8123,54,0,8177,787,870,151,18,18,0,701,169,62,808,802,170,7336,6528,2,1,2,0,7,1,0,1,6,1,0,0,1,99300
29,14714,453,0,15167,8046,1223,286,61,61,0,876,347,579,644,3416,205,6668,6024,1,0,1,0,9,0,0,0,7,1,0,1,1,99243
30,10745,87981,0,98726,82551,3877,1404,473,478,5,1995,1877,3103,774,608,1661,5430,4656,5,0,5,0,10,0,0,5,7,0,0,1,2,99189
31,256,14936,0,15192,1612,5094,742,245,246,1,4106,987,3751,1343,600,175,13324,11981,1,2,1,0,14,2,0,0,12,1,0,0,2,99131
32,1581,19035,0,20616,10566,3275,450,77,78,1,2747,527,516,2759,973,253,8469,5710,1,0,1,0,14,0,0,0,12,1,0,0,2,99072
33,517,14270,0,14787,5495,2842,351,44,44,0,2447,395,666,2176,1767,1385,8775,6599,0,1,0,0,15,1,0,0,12,0,0,1,2,99007
34,89,6591,0,6680,719,2003,208,22,22,0,1773,230,182,1821,1178,804,5872,4051,1,0,1,0,14,0,0,0,12,1,0,0,2,98941
35,7036,72788,0,79824,67682,3389,1015,261,265,4,2109,1276,1971,1418,1005,413,5106,3688,4,0,4,0,15,0,0,2,12,2,0,1,2,98874
36,1189,21924,0,23113,11506,4043,596,269,273,4,3174,865,2571,1472,714,314,10418,8946,5,1,5,0,19,1,0,3,14,2,0,2,3,98802
37,1085,18523,0,19608,11020,2845,307,142,144,2,2394,449,664,2181,950,217,7503,5322,2,0,2,0,22,0,0,2,16,0,0,2,4,98728
38,262,9753,0,10015,2771,2182,213,65,67,2,1902,278,425,1757,1294,1065,6982,5225,4,0,4,0,22,0,0,4,17,0,0,0,5,98651
39,428,11532,0,11960,6883,1603,144,28,29,1,1430,172,185,1418,1018,665,4649,3231,2,0,2,0,25,0,0,2,20,0,0,0,5,98569
40,4329,64989,0,69318,60964,2343,448,282,288,6,1607,730,1216,1127,760,397,4025,2898,7,1,7,0,27,1,0,5,22,2,0,0,5,98482
41,812,16493,0,17305,9531,2707,351,164,166,2,2190,515,1575,1132,565,263,6962,5830,3,0,3,0,32,0,0,3,26,0,0,1,5,98391
42,1064,20229,0,21293,15239,2057,250,112,113,1,1694,362,480,1577,662,137,4990,3413,1,0,1,0,32,0,0,1,26,0,0,0,6,98297
43,405,10137,0,10542,5227,1670,157,76,77,1,1436,233,392,1278,845,556,4910,3632,4,0,4,0,32,0,0,2,26,2,0,0,6,98175
44,249,7147,0,7396,3644,1241,103,39,39,0,1099,142,181,1060,665,442,3503,2443,0,2,0,0,35,2,0,0,28,0,0,2,5,98067
45,3742,61839,0,65581,58782,1840,410,206,211,5,1219,616,947,893,558,273,3057,2164,6,0,6,0,29,0,0,4,24,2,0,0,5,97950
46,792,17435,0,18227,11619,2109,309,184,189,5,1611,493,1242,867,421,193,5816,4949,5,0,5,0,34,0,0,3,27,2,0,2,5,97824
47,616,15107,0,15723,11041,1552,172,102,105,3,1275,274,408,1144,496,144,4066,2922,3,5,3,0,39,5,0,3,30,0,0,2,7,97645
48,413,12875,0,13288,9207,1229,122,70,71,1,1036,192,265,964,603,481,3668,2704,2,6,2,0,34,6,0,1,27,1,0,0,7,97487
49,240,7734,0,7974,4938,934,84,33,33,0,817,117,151,783,494,406,2796,2013,1,0,1,0,33,0,0,0,26,1,0,1,6,97318
