Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102609,6713,0,109322,99596,9023,2539,504,504,0,5980,3043,8703,320,0,0,3013,2693,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8910,0,0,8910,0,1154,236,20,20,0,898,256,0,1154,0,0,8910,7756,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8881,0,0,8881,0,1062,224,25,25,0,813,249,0,1062,5125,0,8881,7819,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98714,5619,0,104333,90712,8408,3080,745,746,1,4582,3825,7752,656,787,2169,8002,7346,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9448,0,0,9448,0,921,153,20,20,0,748,173,0,921,719,193,9448,8527,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13107,261,0,13368,4429,1129,219,46,46,0,864,265,323,806,4036,173,8678,7872,1,0,1,0,3,0,0,1,2,0,0,0,1,99396
27,92361,4871,0,97232,85281,6304,1678,528,532,4,4094,2206,5700,604,657,3011,7080,6476,5,1,5,0,4,1,0,4,3,1,0,0,1,99349
28,8258,53,0,8311,826,792,128,12,12,0,652,140,49,743,778,168,7432,6689,0,0,0,0,8,0,0,0,7,0,0,0,1,99301
29,14629,431,0,15060,7859,1148,264,67,67,0,817,331,520,628,3599,186,6770,6142,2,0,2,0,8,0,0,0,7,2,0,0,1,99244
30,88022,4475,0,92497,82596,5464,1475,502,507,5,3482,1977,4970,494,574,1686,5426,4932,5,0,5,0,10,0,0,5,7,0,0,2,1,99190
31,8202,81,0,8283,1647,777,105,22,22,0,650,127,97,680,705,173,6555,5875,2,1,2,0,14,1,0,0,12,2,0,0,2,99133
32,16603,590,0,17193,10602,1182,240,51,53,2,889,291,623,559,3056,238,6001,5442,2,1,2,0,14,1,0,2,11,0,0,1,2,99073
33,83892,4239,0,88131,79072,4956,1215,335,340,5,3401,1550,4517,439,579,1456,4820,4381,5,0,5,0,16,0,0,4,13,1,0,0,3,99009
34,8492,122,0,8614,2329,686,117,27,27,0,542,144,127,559,785,177,6163,5604,2,2,2,0,20,2,0,1,17,1,0,1,2,98941
35,18283,683,0,18966,12698,1194,275,67,68,1,851,342,715,479,3025,214,5585,5106,2,0,2,0,20,0,0,1,17,0,1,1,2,98874
36,79709,3820,0,83529,75581,4092,835,376,384,8,2873,1211,3752,340,475,1155,4128,3788,9,0,9,0,22,0,0,7,18,2,0,1,3,98803
37,8401,172,0,8573,3038,684,114,34,35,1,535,148,171,513,753,185,5363,4850,3,0,3,0,31,0,0,3,25,0,0,2,4,98729
38,19230,756,0,19986,14473,1155,167,92,93,1,895,259,707,448,2516,278,4757,4309,3,0,3,0,32,0,0,2,27,1,0,0,5,98652
39,75642,3480,0,79122,72154,3413,579,358,367,9,2467,937,3108,305,459,873,3488,3183,10,0,10,0,34,0,0,9,28,1,0,1,5,98570
40,8246,155,0,8401,3655,564,71,32,33,1,460,103,175,389,783,180,4591,4202,1,1,1,0,44,1,0,1,37,0,0,1,6,98483
41,19732,730,0,20462,15773,1037,144,82,83,1,810,226,690,347,2205,191,3959,3612,3,1,3,0,41,1,0,2,35,1,0,0,6,98391
42,71444,3278,0,74722,68582,3094,454,279,285,6,2355,733,2855,239,396,656,2862,2623,10,2,10,0,39,2,0,8,33,2,0,1,5,98295
43,8418,212,0,8630,4256,575,88,36,37,1,450,124,198,377,722,160,4162,3785,1,1,1,0,47,1,0,1,41,0,0,1,5,98172
44,20285,819,0,21104,16653,1071,164,76,77,1,830,240,746,325,2076,155,3632,3307,3,4,3,0,46,4,0,0,41,2,1,0,5,98062
45,67725,3066,0,70791,65047,2810,409,250,257,7,2144,659,2560,250,388,511,2678,2428,7,1,7,0,41,1,0,7,33,0,0,3,5,97944
46,8603,237,0,8840,4716,526,54,37,37,0,435,91,206,320,745,140,3887,3567,1,2,1,0,44,2,0,1,37,0,0,0,7,97816
47,20604,832,0,21436,17243,944,122,88,90,2,732,210,681,263,1925,176,3361,3098,3,2,3,0,43,2,0,2,36,0,1,0,7,97640
48,63804,2923,0,66727,61478,2476,277,237,243,6,1956,514,2272,204,384,454,2326,2122,8,1,8,0,40,1,0,6,33,2,0,0,7,97488
49,8580,248,0,8828,5159,503,48,33,33,0,422,81,200,303,651,117,3421,3118,0,1,0,0,45,1,0,0,38,0,0,2,5,97318
