Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102586,6755,0,109341,99596,9145,2520,484,484,0,6141,3004,8850,295,0,0,2990,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,9009,0,0,9009,0,1163,193,14,14,0,956,207,0,1163,0,0,9009,7846,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,9036,0,0,9036,0,1094,232,20,20,0,842,252,0,1094,5285,0,9036,7942,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98613,5482,0,104095,90561,8382,3133,747,748,1,4501,3880,7698,684,812,2150,8052,7368,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9331,0,0,9331,0,928,140,15,15,0,773,155,0,928,748,138,9331,8403,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13229,271,0,13500,4586,1124,232,40,40,0,852,272,329,795,3964,179,8643,7848,2,1,2,0,3,1,0,1,2,1,0,0,1,99395
27,92382,4994,0,97376,85214,6430,1696,567,571,4,4163,2263,5792,638,694,3027,7168,6530,5,0,5,0,4,0,0,4,3,1,0,0,1,99349
28,8285,43,0,8328,792,814,141,13,13,0,660,154,44,770,747,137,7493,6723,0,1,0,0,9,1,0,0,7,0,0,1,1,99300
29,14845,416,0,15261,7942,1187,265,69,69,0,853,334,526,661,3657,207,6903,6242,0,0,0,0,8,0,0,0,7,0,0,0,1,99243
30,10495,87825,0,98320,82465,3767,1410,448,452,4,1905,1858,2985,782,585,1700,5360,4578,5,0,5,0,8,0,0,3,7,2,0,0,1,99189
31,237,14587,0,14824,1534,4995,764,242,246,4,3985,1006,3703,1292,573,158,13053,11761,4,1,4,0,13,1,0,3,10,1,0,2,1,99132
32,1589,19002,0,20591,10755,3121,396,72,73,1,2652,468,500,2621,929,254,8247,5626,1,1,1,0,16,1,0,0,13,1,0,0,3,99072
33,588,14113,0,14701,5490,2847,347,43,43,0,2457,390,678,2169,1751,1362,8623,6454,0,1,0,0,16,1,0,0,13,0,0,1,2,99007
34,80,6474,0,6554,666,1972,176,17,18,1,1778,193,210,1762,1092,850,5808,4046,2,0,2,0,15,0,0,1,13,1,0,0,2,98941
35,7162,73016,0,80178,67964,3495,997,298,302,4,2196,1295,2050,1445,1047,391,5052,3607,4,0,4,0,17,0,0,3,14,1,0,1,2,98874
36,1123,21804,0,22927,11271,4037,635,279,282,3,3120,914,2537,1500,717,265,10533,9033,3,1,3,0,21,1,0,2,17,1,0,1,3,98802
37,1025,18615,0,19640,11122,2738,327,106,110,4,2301,433,605,2133,1011,203,7493,5360,5,0,5,0,23,0,0,4,19,1,0,1,3,98728
38,267,9731,0,9998,2842,2116,216,58,59,1,1841,274,390,1726,1327,1034,6889,5163,3,0,3,0,26,0,0,1,22,2,0,1,3,98651
39,449,11277,0,11726,6692,1565,134,33,33,0,1398,167,184,1381,997,723,4585,3204,1,0,1,0,28,0,0,1,22,0,0,2,4,98569
40,4380,65074,0,69454,61066,2336,499,295,299,4,1538,794,1250,1086,748,369,4008,2922,5,0,5,0,28,0,0,4,22,1,0,0,6,98483
41,871,16411,0,17282,9487,2696,347,167,170,3,2179,514,1580,1116,574,269,6924,5808,4,2,4,0,30,2,0,3,24,1,0,1,5,98390
42,1102,20357,0,21459,15328,2033,242,104,108,4,1683,346,523,1510,651,132,5029,3519,4,2,4,0,28,2,0,4,23,0,0,0,5,98294
43,429,10247,0,10676,5281,1727,181,65,66,1,1480,246,431,1296,890,585,4966,3670,3,0,3,0,31,0,0,2,27,1,0,0,4,98172
44,247,7146,0,7393,3575,1254,114,38,38,0,1102,152,179,1075,678,432,3571,2496,0,0,0,0,33,0,0,0,29,0,0,1,3,98066
45,3697,61780,0,65477,58671,1917,403,218,223,5,1291,621,985,932,591,270,3109,2177,6,1,6,0,30,1,0,5,27,1,0,0,3,97948
46,747,17324,0,18071,11538,2150,294,183,186,3,1670,477,1254,896,393,193,5786,4890,4,1,4,0,33,1,0,4,29,0,0,1,3,97821
47,628,15378,0,16006,11230,1540,178,100,103,3,1259,278,361,1179,545,149,4148,2969,3,2,3,0,35,2,0,1,31,2,0,0,4,97645
48,397,12847,0,13244,9131,1248,108,52,55,3,1085,160,271,977,658,483,3716,2739,3,4,3,0,35,4,0,3,29,0,0,2,4,97489
49,215,7713,0,7928,4905,940,87,25,26,1,827,112,140,800,491,415,2808,2008,1,2,1,0,34,2,0,1,30,0,0,0,4,97318
