Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102600,6745,0,109345,99596,9186,2522,506,506,0,6158,3028,8888,298,0,0,3004,2706,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,9096,0,0,9096,0,1187,238,20,20,0,929,258,0,1187,0,0,9096,7909,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,9059,0,0,9059,0,1042,207,30,30,0,805,237,0,1042,5275,0,9059,8017,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98533,5601,0,104134,90526,8299,3086,741,742,1,4471,3827,7597,702,821,2171,8007,7305,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9248,0,0,9248,0,897,143,20,20,0,734,163,0,897,714,173,9248,8351,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13128,252,0,13380,4609,1170,209,36,36,0,925,245,322,848,3953,169,8519,7671,1,0,1,0,3,0,0,1,2,0,0,0,1,99396
27,92347,4963,0,97310,85286,6362,1667,541,546,5,4149,2208,5687,675,645,2974,7061,6386,5,1,5,0,4,1,0,4,3,1,0,0,1,99349
28,8266,39,0,8305,783,809,133,12,12,0,664,145,46,763,805,146,7483,6720,0,0,0,0,8,0,0,0,7,0,0,0,1,99301
29,14757,445,0,15202,7918,1208,271,59,60,1,877,330,516,692,3626,185,6839,6147,2,0,2,0,8,0,0,0,7,2,0,0,1,99244
30,10689,87928,0,98617,82509,3746,1412,505,510,5,1824,1917,3021,725,575,1700,5419,4694,6,1,6,0,9,1,0,5,7,1,0,1,1,99189
31,237,14853,0,15090,1601,5029,770,248,249,1,4010,1018,3802,1227,653,175,13252,12025,2,1,2,0,15,1,0,1,12,1,0,1,2,99132
32,1506,18990,0,20496,10638,3167,438,78,79,1,2650,516,492,2675,886,265,8352,5677,1,1,1,0,15,1,0,1,13,0,0,0,2,99072
33,577,14072,0,14649,5457,2800,335,55,57,2,2408,390,632,2168,1718,1379,8615,6447,3,0,3,0,16,0,0,2,14,1,0,0,2,99008
34,85,6537,0,6622,676,1954,205,13,13,0,1736,218,202,1752,1111,868,5861,4109,0,0,0,0,19,0,0,0,16,0,0,1,2,98942
35,6984,72876,0,79860,67792,3356,1026,290,292,2,2038,1316,1972,1384,1019,430,5084,3700,2,0,2,0,19,0,0,1,16,1,0,0,3,98875
36,1170,21699,0,22869,11419,3982,566,274,278,4,3138,840,2557,1425,691,292,10280,8855,4,1,4,0,21,1,0,1,17,3,0,1,3,98803
37,1114,18680,0,19794,11176,2788,346,138,139,1,2303,484,663,2125,928,204,7504,5379,3,0,3,0,24,0,0,3,18,0,0,3,3,98729
38,272,9774,0,10046,2774,2195,209,68,69,1,1917,277,432,1763,1331,1088,7000,5237,1,1,1,0,25,1,0,1,20,0,0,0,5,98651
39,421,11327,0,11748,6686,1581,156,51,51,0,1374,207,190,1391,954,677,4641,3250,3,0,3,0,24,0,0,2,20,1,0,0,4,98569
40,4318,65178,0,69496,61167,2222,456,225,229,4,1537,681,1163,1059,797,402,4011,2952,4,1,4,0,27,1,0,3,22,1,0,1,4,98482
41,773,16436,0,17209,9533,2649,329,197,200,3,2120,526,1520,1129,565,258,6903,5774,3,0,3,0,29,0,0,3,24,0,0,1,4,98391
42,1080,20003,0,21083,15176,1966,234,88,90,2,1642,322,497,1469,644,157,4827,3358,4,0,4,0,28,0,0,2,23,2,0,0,5,98297
43,370,10073,0,10443,5272,1625,156,80,80,0,1389,236,399,1226,836,540,4801,3575,2,1,2,0,31,1,0,2,25,0,0,1,5,98174
44,244,6975,0,7219,3579,1227,112,27,29,2,1086,139,156,1071,672,419,3396,2325,2,1,2,0,30,1,0,1,25,1,0,0,5,98067
45,3775,61779,0,65554,58824,1810,386,215,221,6,1203,601,955,855,526,247,2955,2100,7,0,7,0,25,0,0,5,20,2,0,1,4,97950
46,796,17490,0,18286,11666,2163,304,182,188,6,1671,486,1315,848,428,199,5824,4976,6,2,6,0,30,2,0,5,24,1,0,2,4,97822
47,646,15292,0,15938,11163,1528,179,114,114,0,1235,293,374,1154,509,132,4129,2975,1,2,1,0,31,2,0,1,24,0,0,1,6,97646
48,431,12652,0,13083,8939,1161,107,58,60,2,994,165,248,913,656,474,3713,2800,2,2,2,0,27,2,0,1,22,1,0,0,5,97492
49,218,7728,0,7946,4954,965,78,35,35,0,852,113,174,791,488,405,2774,1983,1,3,1,0,28,3,0,0,23,2,0,1,4,97320
