Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102595,6816,0,109411,99596,9101,2532,487,487,0,6082,3019,8804,297,0,0,2999,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8993,0,0,8993,0,1158,222,16,16,0,920,238,0,1158,0,0,8993,7835,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8973,0,0,8973,0,1009,211,16,17,1,781,227,0,1009,5226,0,8973,7964,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98571,5446,0,104017,90611,8359,3079,743,743,0,4537,3822,7639,720,794,2173,7960,7240,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9271,0,0,9271,0,892,131,15,15,0,746,146,0,892,689,163,9271,8379,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13172,254,0,13426,4591,1171,227,43,43,0,901,270,335,836,4014,179,8581,7745,1,0,1,0,3,0,0,1,2,0,0,0,1,99396
27,92360,4894,0,97254,85284,6369,1665,559,561,2,4143,2224,5743,626,667,2947,7076,6450,3,1,3,0,4,1,0,2,3,1,0,0,1,99349
28,8272,46,0,8318,766,860,144,17,17,0,699,161,65,795,795,141,7506,6711,2,0,2,0,6,0,0,1,5,1,0,0,1,99301
29,14834,446,0,15280,7962,1142,283,47,49,2,810,330,504,638,3606,201,6872,6234,3,1,3,0,8,1,0,2,6,1,0,1,1,99243
30,87980,87980,87980,175960,82491,5676,1499,473,478,5,3699,1972,4632,1044,623,1701,5489,4445,5,1,5,0,10,1,0,4,8,1,0,1,1,99188
31,16515,16515,16515,33030,1549,6039,789,266,268,2,4982,1055,4183,1856,533,154,14966,13110,2,0,2,0,14,0,0,2,12,0,0,0,2,99132
32,24915,24915,24915,49830,10726,5185,522,87,87,0,4576,609,1517,3668,2303,212,14189,10521,0,0,0,0,16,0,0,0,14,0,0,0,2,99073
33,19374,19374,19374,38748,5164,4555,461,58,59,1,4035,519,1355,3200,2172,1214,14210,11010,1,0,1,0,16,0,0,1,14,0,0,0,2,99009
34,9625,9625,9625,19250,448,3183,279,33,33,0,2871,312,333,2850,2185,724,9177,6327,0,0,0,0,17,0,0,0,15,0,0,0,2,98943
35,71175,71175,71175,142350,63412,5374,1025,250,254,4,4095,1275,3067,2307,1892,412,7763,5456,4,0,4,0,17,0,0,2,15,2,0,0,2,98876
36,19735,19735,19735,39470,7059,4980,548,217,219,2,4213,765,2614,2366,1253,334,12676,10310,2,1,2,0,21,1,0,2,17,0,0,2,2,98804
37,25205,25205,25205,50410,13497,4137,393,121,123,2,3621,514,1238,2899,2304,219,11708,8809,2,1,2,0,22,1,0,2,19,0,0,0,3,98729
38,16810,16810,16810,33620,5277,3475,257,104,104,0,3114,361,1022,2453,1951,886,11533,9080,1,0,1,0,21,0,0,0,20,1,0,0,1,98652
39,14975,14975,14975,29950,7431,2522,202,44,44,0,2276,246,465,2057,1781,495,7544,5487,0,0,0,0,21,0,0,0,19,0,0,1,1,98570
40,60261,60261,60261,120522,53857,3858,477,238,244,6,3137,715,2122,1736,1506,376,6404,4668,7,1,7,0,20,1,0,5,19,2,0,0,1,98483
41,12895,12895,12895,25790,4033,3182,275,103,106,3,2801,378,1470,1712,1031,276,8862,7150,4,1,4,0,25,1,0,3,23,1,0,1,1,98391
42,27107,27107,27107,54214,19119,3014,244,112,112,0,2658,356,1046,1968,1785,175,7988,6020,1,0,1,0,26,0,0,1,24,0,0,1,1,98297
43,16824,16824,16824,33648,8305,2780,239,97,98,1,2443,336,1033,1747,1246,464,8519,6772,2,1,2,0,26,1,0,1,24,1,0,0,2,98174
44,11688,11688,11688,23376,5701,2046,175,56,56,0,1815,231,478,1568,1315,272,5987,4419,2,0,2,0,24,0,0,2,22,0,0,1,1,98068
45,56051,56051,56051,112102,50524,3359,395,168,171,3,2793,563,1933,1426,1204,222,5527,4101,4,0,4,0,22,0,0,1,20,3,0,0,2,97951
46,12055,12055,12055,24110,4368,2659,250,148,152,4,2257,398,1214,1445,762,227,7687,6242,4,1,4,0,23,1,0,4,19,0,0,2,2,97824
47,23103,23103,23103,46206,16302,2298,175,88,90,2,2033,263,773,1525,1589,176,6801,5276,2,0,2,0,26,0,0,1,23,1,0,0,3,97650
48,20188,20188,20188,40376,13185,2188,152,93,97,4,1939,245,881,1307,1052,379,7003,5696,4,1,4,0,27,1,0,2,23,1,1,1,3,97497
