Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102596,6732,0,109328,99596,9051,2523,490,490,0,6038,3013,8767,284,0,0,3000,2716,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8944,0,0,8944,0,1082,206,18,18,0,858,224,0,1082,0,0,8944,7862,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8916,0,0,8916,0,1021,172,29,29,0,820,201,0,1021,5244,0,8916,7895,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98679,5623,0,104302,90648,8492,3175,759,760,1,4557,3934,7802,690,766,2188,8031,7341,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9410,0,0,9410,0,915,148,22,22,0,745,170,0,915,717,138,9410,8495,0,0,0,0,3,0,0,0,2,0,0,0,1,99445
26,13289,251,0,13540,4580,1146,211,44,44,0,891,255,327,819,4025,162,8709,7890,1,0,1,0,3,0,0,1,2,0,0,0,1,99396
27,92335,4875,0,97210,85163,6208,1661,558,562,4,3985,2219,5601,607,665,3060,7172,6565,4,1,4,0,4,1,0,3,3,1,0,0,1,99349
28,8115,34,0,8149,771,811,125,20,20,0,666,145,36,775,776,157,7344,6569,2,0,2,0,7,0,0,0,6,2,0,0,1,99301
29,14660,454,0,15114,7968,1250,300,56,56,0,894,356,598,652,3479,192,6692,6040,1,0,1,0,9,0,0,1,6,0,0,2,1,99244
30,10631,88038,0,98669,82628,3718,1413,444,449,5,1856,1857,3000,718,585,1687,5410,4692,6,1,6,0,9,1,0,5,7,1,0,0,2,99189
31,248,14817,0,15065,1582,5002,771,247,249,2,3982,1018,3776,1226,661,163,13235,12009,2,1,2,0,13,1,0,2,11,0,0,1,1,99132
32,1528,18816,0,20344,10501,3170,400,81,81,0,2689,481,475,2695,955,267,8315,5620,0,0,0,0,15,0,0,0,13,0,0,0,2,99073
33,595,14196,0,14791,5592,2792,360,53,53,0,2379,413,672,2120,1690,1355,8604,6484,0,0,0,0,15,0,0,0,13,0,0,0,2,99009
34,80,6505,0,6585,693,1907,183,23,23,0,1701,206,220,1687,1132,840,5812,4125,1,0,1,0,15,0,0,0,13,1,0,0,2,98943
35,6940,72885,0,79825,67872,3299,1026,251,255,4,2018,1277,1937,1362,1038,419,5013,3651,3,1,3,0,16,1,0,2,13,2,0,1,2,98875
36,1147,21702,0,22849,11497,3982,574,264,267,3,3141,838,2542,1440,705,293,10205,8765,4,1,4,0,18,1,0,3,15,1,0,1,2,98803
37,1069,18344,0,19413,11002,2661,313,138,142,4,2206,451,606,2055,882,190,7342,5287,5,1,5,0,22,1,0,3,18,2,0,1,3,98728
38,232,9628,0,9860,2779,2065,197,62,62,0,1806,259,411,1654,1353,1038,6849,5195,2,0,2,0,24,0,0,2,20,0,0,2,2,98651
39,419,11317,0,11736,6847,1515,137,44,45,1,1333,181,172,1343,959,694,4470,3127,2,0,2,0,25,0,0,1,21,1,0,0,4,98569
40,4495,65141,0,69636,61227,2254,487,264,269,5,1498,751,1201,1053,733,387,3914,2861,9,0,9,0,27,0,0,6,22,3,0,1,4,98483
41,820,16550,0,17370,9532,2711,343,196,198,2,2170,539,1604,1107,543,250,7018,5911,2,3,2,0,34,3,0,2,27,0,0,2,5,98389
42,1078,20153,0,21231,15205,1996,239,99,101,2,1656,338,486,1510,622,151,4948,3438,2,1,2,0,30,1,0,2,26,0,0,0,4,98294
43,415,10146,0,10561,5254,1723,167,63,68,5,1488,230,439,1284,862,578,4892,3608,5,1,5,0,32,1,0,5,28,0,0,0,4,98171
44,264,7119,0,7383,3576,1268,125,36,36,0,1107,161,193,1075,643,449,3543,2468,1,0,1,0,35,0,0,0,32,1,0,0,3,98065
45,3734,61939,0,65673,58830,1856,414,212,219,7,1223,626,957,899,595,260,3109,2210,8,3,8,0,31,3,0,5,28,3,0,1,2,97945
46,776,17430,0,18206,11635,2140,278,181,183,2,1679,459,1267,873,407,191,5795,4922,2,2,2,0,33,2,0,2,29,0,0,2,2,97817
47,649,15149,0,15798,11019,1530,178,92,96,4,1256,270,384,1146,516,158,4130,2984,5,4,5,0,33,4,0,4,29,1,0,0,4,97639
48,433,12943,0,13376,9171,1207,120,54,55,1,1032,174,260,947,682,485,3772,2825,1,1,1,0,34,1,0,1,30,0,0,1,3,97487
49,258,7667,0,7925,4855,961,79,38,38,0,844,117,166,795,513,384,2812,2017,1,1,1,0,33,1,0,0,29,0,1,0,4,97317
